ticker	2020-08-01	2020-05-01	2020-02-01	2019-11-01	2019-08-01
TXAC	14.22	-	-	-	-
ASRV	2.87	3.1384	4.0336	4.0434	3.9608
THCBF	0.15	0.075	0.109	0.1	0.141
CRVW	0.03	0.01	0.01	0.01	0.01
DVD	1.42	1.33	1.82	1.8315	1.898
HRTH	2.17	-	3.57	-	-
CDTAF	0.089	0.115	0.1327	0.1126	0.0706
STND	20.06	25.18	30.46	27.32	26.66
RCRT	2.2	2.87	2.95	1.175	3.152
PHCG	0.45	0.425	0.43	0.4501	0.26
LEDS	2.96	2.12	2.03	2.67	2.49
BLEG	0.4	-	-	-	-
NWFL	-	-	-	-	-
ODC	34.77	37.11	34.89	34.25	34.39
WTM	880.13	973.0	1115.85	1069.69	1074.69
ATLO	18.5	20.93	26.06	26.82	26.21
NTTCF	0.863	0.5059	0.2547	0.2773	0.3675
MEDS	6.76	7.8	1.25	1.07	-
PTQQF	0.8296	0.6821	0.69	0.749	0.591
LFCOF	-	-	-	-	-
SNYR	-	-	-	-	-
PSHIF	-	-	-	-	-
KNBIF	0.109	0.0902	0.14	0.0983	0.091
WCUI	0.07	0.03	0.02	0.05	0.06
WINS	28.1	10.61	11.55	11.9	13.5
MDJH	2.88	2.52	2.9	2.619	2.95
CMT	4.6	2.52	3.16	5.71	6.65
GTEC	2.63	1.98	3.99	7.03	10.212
TBTC	3.55	3.0	3.85	2.99	3.35
PLPC	49.26	49.48	54.18	53.98	56.9
ICBK	18.56	19.44	25.1	21.81	17.67
BELFA	12.1	7.37	14.07	13.29	15.1
PMD	4.61	6.0	9.3131	9.2639	8.4824
